"year","school","conference","association","sport_label","men_revenue","women_revenue","total_revenue"
"2001-2002","Union College","Other","NCAA Division III","Non Football-Basketball",813893,659287,1473180
"2001-2002","Union University","Other","NCAA Division II","Basketball",289094,273172,562266
"2001-2002","Union University","Other","NCAA Division II","Non Football-Basketball",502349,341884,844233
"2001-2002","United States Merchant Marine Academy","Other","NCAA Division III","Basketball",57805,19025,76830
"2001-2002","United States Merchant Marine Academy","Other","NCAA Division III","Football",168113,0,168113
"2001-2002","United States Merchant Marine Academy","Other","NCAA Division III","Non Football-Basketball",139443,28515,167958
"2001-2002","University of Akron Main Campus","Other","NCAA Division I-A","Basketball",379291,7244,386535
"2001-2002","University of Akron Main Campus","Other","NCAA Division I-A","Football",996919,0,996919
"2001-2002","University of Akron Main Campus","Other","NCAA Division I-A","Non Football-Basketball",88226,36290,124516
"2001-2002","University of Alabama at Birmingham","Other","NCAA Division I-A","Basketball",476031,836967,1312998
"2001-2002","University of Alabama at Birmingham","Other","NCAA Division I-A","Football",1274079,0,1274079
"2001-2002","University of Alabama at Birmingham","Other","NCAA Division I-A","Non Football-Basketball",5216421,1962240,7178661
"2001-2002","University of Alabama at Huntsville","Other","NCAA Division II","Basketball",255331,217838,473169
"2001-2002","University of Alabama at Huntsville","Other","NCAA Division II","Non Football-Basketball",926278,609567,1535845
"2001-2002","University of Alaska Anchorage","Other","NCAA Division II","Basketball",766785,345677,1112462
"2001-2002","University of Alaska Anchorage","Other","NCAA Division II","Non Football-Basketball",1184305,626385,1810690
"2001-2002","University of Alaska Fairbanks","Other","NCAA Division II","Basketball",569155,196808,765963
"2001-2002","University of Alaska Fairbanks","Other","NCAA Division II","Non Football-Basketball",700008,167011,867019
"2001-2002","University of Arizona","Pacific-12 Conference","NCAA Division I-A","Basketball",13161404,418347,13579751
"2001-2002","University of Arizona","Pacific-12 Conference","NCAA Division I-A","Football",12032837,0,12032837
"2001-2002","University of Arizona","Pacific-12 Conference","NCAA Division I-A","Non Football-Basketball",576111,1344604,1920715
"2001-2002","University of Arkansas","Southeastern Conference","NCAA Division I-A","Basketball",9798595,308634,10107229
"2001-2002","University of Arkansas","Southeastern Conference","NCAA Division I-A","Football",40209410,0,40209410
"2001-2002","University of Arkansas","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",932382,604785,1537167
"2001-2002","University of Arkansas At Monticello","Other","NCAA Division II","Basketball",53945,5946,59891
"2001-2002","University of Arkansas At Monticello","Other","NCAA Division II","Football",37312,0,37312
"2001-2002","University of Arkansas At Monticello","Other","NCAA Division II","Non Football-Basketball",0,0,0
"2001-2002","University of Arkansas at Little Rock","Other","NCAA Division I-AAA","Basketball",991441,13463,1004904
"2001-2002","University of Arkansas at Little Rock","Other","NCAA Division I-AAA","Non Football-Basketball",109945,21203,131148
"2001-2002","University of Arkansas at Pine Bluff","Other","NCAA Division I-AA","Basketball",340495,23817,364312
"2001-2002","University of Arkansas at Pine Bluff","Other","NCAA Division I-AA","Football",603271,0,603271
"2001-2002","University of Arkansas at Pine Bluff","Other","NCAA Division I-AA","Non Football-Basketball",2000,0,2000
"2001-2002","University of Arkansas-Fort Smith","Other","NCAA Division II","Basketball",32227,29008,61235
"2001-2002","University of Arkansas-Fort Smith","Other","NCAA Division II","Non Football-Basketball",26577,5491,32068
"2001-2002","University of Bridgeport","Other","NCAA Division II","Basketball",239762,188779,428541
"2001-2002","University of Bridgeport","Other","NCAA Division II","Non Football-Basketball",364825,528286,893111
"2001-2002","University of California-Berkeley","Pacific-12 Conference","NCAA Division I-A","Basketball",5121233,1018963,6140196
"2001-2002","University of California-Berkeley","Pacific-12 Conference","NCAA Division I-A","Football",8521041,0,8521041
"2001-2002","University of California-Berkeley","Pacific-12 Conference","NCAA Division I-A","Non Football-Basketball",2383388,3725380,6108768
"2001-2002","University of California-Davis","Other","NCAA Division I-AA","Basketball",140516,99866,240382
"2001-2002","University of California-Davis","Other","NCAA Division I-AA","Football",361666,0,361666
"2001-2002","University of California-Davis","Other","NCAA Division I-AA","Non Football-Basketball",406754,518161,924915
"2001-2002","University of California-Irvine","Other","NCAA Division I-AAA","Basketball",593325,32575,625900
"2001-2002","University of California-Irvine","Other","NCAA Division I-AAA","Non Football-Basketball",1295010,1240838,2535848
"2001-2002","University of California-Los Angeles","Pacific-12 Conference","NCAA Division I-A","Basketball",8035144,171100,8206244
"2001-2002","University of California-Los Angeles","Pacific-12 Conference","NCAA Division I-A","Football",17275932,0,17275932
"2001-2002","University of California-Los Angeles","Pacific-12 Conference","NCAA Division I-A","Non Football-Basketball",874444,601298,1475742
"2001-2002","University of California-Riverside","Other","NCAA Division I-AAA","Basketball",524030,347300,871330
"2001-2002","University of California-Riverside","Other","NCAA Division I-AAA","Non Football-Basketball",906700,958883,1865583
"2001-2002","University of California-San Diego","Other","NCAA Division II","Basketball",171835,121541,293376
"2001-2002","University of California-San Diego","Other","NCAA Division II","Non Football-Basketball",998371,960227,1958598
"2001-2002","University of California-Santa Barbara","Other","NCAA Division I-AAA","Basketball",243973,695138,939111
"2001-2002","University of California-Santa Barbara","Other","NCAA Division I-AAA","Non Football-Basketball",940385,883738,1824123
"2001-2002","University of California-Santa Cruz","Other","NCAA Division III","Basketball",29270,20863,50133
"2001-2002","University of California-Santa Cruz","Other","NCAA Division III","Non Football-Basketball",104600,77786,182386
"2001-2002","University of Central Arkansas","Other","NCAA Division I-AA","Basketball",36604,40175,76779
"2001-2002","University of Central Arkansas","Other","NCAA Division I-AA","Football",125460,0,125460
"2001-2002","University of Central Arkansas","Other","NCAA Division I-AA","Non Football-Basketball",40997,60977,101974
"2001-2002","University of Central Florida","Other","NCAA Division I-A","Basketball",81013,83605,164618
"2001-2002","University of Central Florida","Other","NCAA Division I-A","Football",2298277,0,2298277
"2001-2002","University of Central Florida","Other","NCAA Division I-A","Non Football-Basketball",171845,503397,675242
"2001-2002","University of Central Missouri","Other","NCAA Division II","Basketball",407418,293826,701244
"2001-2002","University of Central Missouri","Other","NCAA Division II","Football",1037981,0,1037981
"2001-2002","University of Central Missouri","Other","NCAA Division II","Non Football-Basketball",692137,865135,1557272
"2001-2002","University of Central Oklahoma","Other","NCAA Division II","Basketball",27765,25615,53380
"2001-2002","University of Central Oklahoma","Other","NCAA Division II","Football",91180,0,91180
"2001-2002","University of Central Oklahoma","Other","NCAA Division II","Non Football-Basketball",96760,44800,141560
"2001-2002","University of Charleston","Other","NCAA Division II","Basketball",68804,15768,84572
"2001-2002","University of Charleston","Other","NCAA Division II","Non Football-Basketball",43954,18819,62773
"2001-2002","University of Chicago","Other","NCAA Division III","Basketball",151418,136455,287873
"2001-2002","University of Chicago","Other","NCAA Division III","Football",333244,0,333244
"2001-2002","University of Chicago","Other","NCAA Division III","Non Football-Basketball",521828,415791,937619
"2001-2002","University of Cincinnati","Other","NCAA Division I-A","Basketball",5573080,731418,6304498
"2001-2002","University of Cincinnati","Other","NCAA Division I-A","Football",4645283,0,4645283
"2001-2002","University of Cincinnati","Other","NCAA Division I-A","Non Football-Basketball",1256874,2269521,3526395
"2001-2002","University of Colorado Boulder","Pacific-12 Conference","NCAA Division I-A","Basketball",2127200,632382,2759582
"2001-2002","University of Colorado Boulder","Pacific-12 Conference","NCAA Division I-A","Football",17903034,0,17903034
"2001-2002","University of Colorado Boulder","Pacific-12 Conference","NCAA Division I-A","Non Football-Basketball",398314,544475,942789
"2001-2002","University of Colorado-Colorado Springs","Other","NCAA Division II","Basketball",122819,157119,279938
"2001-2002","University of Colorado-Colorado Springs","Other","NCAA Division II","Non Football-Basketball",230355,211995,442350
"2001-2002","University of Connecticut","Other","NCAA Division I-A","Basketball",5819482,3995216,9814698
"2001-2002","University of Connecticut","Other","NCAA Division I-A","Football",1321682,0,1321682
"2001-2002","University of Connecticut","Other","NCAA Division I-A","Non Football-Basketball",996088,272043,1268131
"2001-2002","University of Dallas","Other","NCAA Division III","Basketball",56623,55488,112111
"2001-2002","University of Dallas","Other","NCAA Division III","Non Football-Basketball",153943,186071,340014
"2001-2002","University of Dayton","Other","NCAA Division I-AA","Basketball",5575049,41624,5616673
"2001-2002","University of Dayton","Other","NCAA Division I-AA","Football",165866,0,165866
"2001-2002","University of Dayton","Other","NCAA Division I-AA","Non Football-Basketball",66387,49708,116095
"2001-2002","University of Delaware","Other","NCAA Division I-AA","Basketball",1092223,591877,1684100
"2001-2002","University of Delaware","Other","NCAA Division I-AA","Football",3572586,0,3572586
"2001-2002","University of Delaware","Other","NCAA Division I-AA","Non Football-Basketball",980948,2394593,3375541
"2001-2002","University of Denver","Other","NCAA Division I-AAA","Basketball",409088,386431,795519
"2001-2002","University of Denver","Other","NCAA Division I-AAA","Non Football-Basketball",3332706,1803098,5135804
"2001-2002","University of Detroit Mercy","Other","NCAA Division I-AAA","Basketball",1313914,375302,1689216
"2001-2002","University of Detroit Mercy","Other","NCAA Division I-AAA","Non Football-Basketball",181280,233737,415017
"2001-2002","University of Dubuque","Other","NCAA Division III","Basketball",3991,3991,7982
"2001-2002","University of Dubuque","Other","NCAA Division III","Football",12264,0,12264
"2001-2002","University of Dubuque","Other","NCAA Division III","Non Football-Basketball",571,1346,1917
"2001-2002","University of Evansville","Other","NCAA Division I-AAA","Basketball",1287462,828103,2115565
"2001-2002","University of Evansville","Other","NCAA Division I-AAA","Non Football-Basketball",1473576,1842747,3316323
"2001-2002","University of Florida","Southeastern Conference","NCAA Division I-A","Basketball",5847405,583428,6430833
"2001-2002","University of Florida","Southeastern Conference","NCAA Division I-A","Football",35482540,0,35482540
"2001-2002","University of Florida","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",4101811,4924235,9026046
"2001-2002","University of Georgia","Southeastern Conference","NCAA Division I-A","Basketball",3507883,66898,3574781
"2001-2002","University of Georgia","Southeastern Conference","NCAA Division I-A","Football",31369803,0,31369803
"2001-2002","University of Georgia","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",154586,202433,357019
"2001-2002","University of Hartford","Other","NCAA Division I-AAA","Basketball",284500,161127,445627
"2001-2002","University of Hartford","Other","NCAA Division I-AAA","Non Football-Basketball",135122,53594,188716
"2001-2002","University of Hawaii At Hilo","Other","NCAA Division II","Basketball",144966,0,144966
"2001-2002","University of Hawaii At Hilo","Other","NCAA Division II","Non Football-Basketball",149907,167553,317460
"2001-2002","University of Hawaii at Manoa","Other","NCAA Division I-A","Basketball",1397684,96745,1494429
"2001-2002","University of Hawaii at Manoa","Other","NCAA Division I-A","Football",4292908,0,4292908
"2001-2002","University of Hawaii at Manoa","Other","NCAA Division I-A","Non Football-Basketball",1115722,982437,2098159
"2001-2002","University of Houston","Other","NCAA Division I-A","Basketball",744272,20300,764572
"2001-2002","University of Houston","Other","NCAA Division I-A","Football",3110648,0,3110648
"2001-2002","University of Houston","Other","NCAA Division I-A","Non Football-Basketball",164598,33439,198037
"2001-2002","University of Idaho","Other","NCAA Division I-A","Basketball",689710,486478,1176188
"2001-2002","University of Idaho","Other","NCAA Division I-A","Football",4119446,0,4119446
"2001-2002","University of Idaho","Other","NCAA Division I-A","Non Football-Basketball",426280,1207222,1633502
"2001-2002","University of Illinois at Chicago","Other","NCAA Division I-AAA","Basketball",740088,17469,757557
"2001-2002","University of Illinois at Chicago","Other","NCAA Division I-AAA","Non Football-Basketball",33572,41727,75299
"2001-2002","University of Illinois at Springfield","Other","NCAA Division II","Basketball",9000,94277,103277
"2001-2002","University of Illinois at Springfield","Other","NCAA Division II","Non Football-Basketball",242746,120413,363159
"2001-2002","University of Illinois at Urbana-Champaign","Big Ten Conference","NCAA Division I-A","Basketball",8593534,697906,9291440
"2001-2002","University of Illinois at Urbana-Champaign","Big Ten Conference","NCAA Division I-A","Football",18203842,0,18203842
"2001-2002","University of Illinois at Urbana-Champaign","Big Ten Conference","NCAA Division I-A","Non Football-Basketball",1217727,1942797,3160524
"2001-2002","University of Indianapolis","Other","NCAA Division II","Basketball",430250,493210,923460
"2001-2002","University of Indianapolis","Other","NCAA Division II","Football",1059166,0,1059166
"2001-2002","University of Indianapolis","Other","NCAA Division II","Non Football-Basketball",1188766,1172256,2361022
"2001-2002","University of Iowa","Big Ten Conference","NCAA Division I-A","Basketball",9727820,414601,10142421
"2001-2002","University of Iowa","Big Ten Conference","NCAA Division I-A","Football",15274107,0,15274107
"2001-2002","University of Iowa","Big Ten Conference","NCAA Division I-A","Non Football-Basketball",1245062,60343,1305405
"2001-2002","University of Kansas","Big 12 Conference","NCAA Division I-A","Basketball",7591070,79023,7670093
"2001-2002","University of Kansas","Big 12 Conference","NCAA Division I-A","Football",7981027,0,7981027
"2001-2002","University of Kansas","Big 12 Conference","NCAA Division I-A","Non Football-Basketball",47173,101974,149147
"2001-2002","University of Kentucky","Southeastern Conference","NCAA Division I-A","Basketball",14390379,121897,14512276
"2001-2002","University of Kentucky","Southeastern Conference","NCAA Division I-A","Football",20565178,0,20565178
"2001-2002","University of Kentucky","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",367995,306265,674260
"2001-2002","University of La Verne","Other","NCAA Division III","Basketball",51969,35546,87515
"2001-2002","University of La Verne","Other","NCAA Division III","Football",163765,0,163765
"2001-2002","University of La Verne","Other","NCAA Division III","Non Football-Basketball",240207,204584,444791
"2001-2002","University of Louisiana Monroe","Other","NCAA Division I-A","Basketball",149904,12258,162162
"2001-2002","University of Louisiana Monroe","Other","NCAA Division I-A","Football",1185775,0,1185775
"2001-2002","University of Louisiana Monroe","Other","NCAA Division I-A","Non Football-Basketball",99979,21965,121944
"2001-2002","University of Louisiana at Lafayette","Other","NCAA Division I-A","Basketball",365353,8533,373886
"2001-2002","University of Louisiana at Lafayette","Other","NCAA Division I-A","Football",973195,0,973195
"2001-2002","University of Louisiana at Lafayette","Other","NCAA Division I-A","Non Football-Basketball",180273,24923,205196
"2001-2002","University of Louisville","Atlantic Coast Conference","NCAA Division I-A","Basketball",12581461,38677,12620138
"2001-2002","University of Louisville","Atlantic Coast Conference","NCAA Division I-A","Football",10558680,0,10558680
"2001-2002","University of Louisville","Atlantic Coast Conference","NCAA Division I-A","Non Football-Basketball",181572,158685,340257
"2001-2002","University of Maine","Other","NCAA Division I-AA","Basketball",643585,573705,1217290
"2001-2002","University of Maine","Other","NCAA Division I-AA","Football",955650,0,955650
"2001-2002","University of Maine","Other","NCAA Division I-AA","Non Football-Basketball",2507799,1078990,3586789
"2001-2002","University of Maine At Farmington","Other","NCAA Division III","Basketball",3850,3150,7000
"2001-2002","University of Maine At Farmington","Other","NCAA Division III","Non Football-Basketball",1825,2000,3825
"2001-2002","University of Maine At Presque Isle","Other","NCAA Division III","Basketball",3640,2248,5888
"2001-2002","University of Maine At Presque Isle","Other","NCAA Division III","Non Football-Basketball",6410,3104,9514
"2001-2002","University of Mary","Other","NCAA Division II","Basketball",3784,3881,7665
"2001-2002","University of Mary","Other","NCAA Division II","Football",23503,0,23503
"2001-2002","University of Mary","Other","NCAA Division II","Non Football-Basketball",1582,621,2203
"2001-2002","University of Mary Hardin-Baylor","Other","NCAA Division III","Basketball",99764,82395,182159
"2001-2002","University of Mary Hardin-Baylor","Other","NCAA Division III","Football",471265,0,471265
"2001-2002","University of Mary Hardin-Baylor","Other","NCAA Division III","Non Football-Basketball",213942,236334,450276
"2001-2002","University of Maryland Eastern Shore","Other","NCAA Division I-AAA","Basketball",193513,483715,677228
"2001-2002","University of Maryland Eastern Shore","Other","NCAA Division I-AAA","Non Football-Basketball",0,0,0
"2001-2002","University of Maryland-Baltimore County","Other","NCAA Division I-AAA","Basketball",159859,70941,230800
"2001-2002","University of Maryland-Baltimore County","Other","NCAA Division I-AAA","Non Football-Basketball",522686,500519,1023205
"2001-2002","University of Maryland-College Park","Big Ten Conference","NCAA Division I-A","Basketball",9813434,85185,9898619
"2001-2002","University of Maryland-College Park","Big Ten Conference","NCAA Division I-A","Football",8749985,0,8749985
"2001-2002","University of Maryland-College Park","Big Ten Conference","NCAA Division I-A","Non Football-Basketball",100687,541729,642416
"2001-2002","University of Massachusetts Amherst","Other","NCAA Division I-A","Basketball",3052858,824829,3877687
"2001-2002","University of Massachusetts Amherst","Other","NCAA Division I-A","Football",2900278,0,2900278
"2001-2002","University of Massachusetts Amherst","Other","NCAA Division I-A","Non Football-Basketball",2910366,3553436,6463802
"2001-2002","University of Massachusetts-Boston","Other","NCAA Division III","Basketball",4189,1945,6134
"2001-2002","University of Massachusetts-Boston","Other","NCAA Division III","Non Football-Basketball",38805,7536,46341
"2001-2002","University of Massachusetts-Dartmouth","Other","NCAA Division III","Basketball",74207,46687,120894
"2001-2002","University of Massachusetts-Dartmouth","Other","NCAA Division III","Football",84899,0,84899
"2001-2002","University of Massachusetts-Dartmouth","Other","NCAA Division III","Non Football-Basketball",301431,344534,645965
"2001-2002","University of Massachusetts-Lowell","Other","NCAA Division II","Basketball",323887,314831,638718
"2001-2002","University of Massachusetts-Lowell","Other","NCAA Division II","Football",189851,0,189851
"2001-2002","University of Massachusetts-Lowell","Other","NCAA Division II","Non Football-Basketball",1318492,710795,2029287
"2001-2002","University of Memphis","Other","NCAA Division I-A","Basketball",6687400,246253,6933653
"2001-2002","University of Memphis","Other","NCAA Division I-A","Football",3285398,0,3285398
"2001-2002","University of Memphis","Other","NCAA Division I-A","Non Football-Basketball",270726,35292,306018
"2001-2002","University of Miami","Atlantic Coast Conference","NCAA Division I-A","Basketball",3376749,66824,3443573
"2001-2002","University of Miami","Atlantic Coast Conference","NCAA Division I-A","Football",18032529,0,18032529
"2001-2002","University of Miami","Atlantic Coast Conference","NCAA Division I-A","Non Football-Basketball",967087,244202,1211289
"2001-2002","University of Michigan-Ann Arbor","Big Ten Conference","NCAA Division I-A","Basketball",6562755,57278,6620033
"2001-2002","University of Michigan-Ann Arbor","Big Ten Conference","NCAA Division I-A","Football",29521062,0,29521062
"2001-2002","University of Michigan-Ann Arbor","Big Ten Conference","NCAA Division I-A","Non Football-Basketball",2406808,195094,2601902
"2001-2002","University of Minnesota-Crookston","Other","NCAA Division II","Basketball",118787,129817,248604
"2001-2002","University of Minnesota-Crookston","Other","NCAA Division II","Football",305674,0,305674
"2001-2002","University of Minnesota-Crookston","Other","NCAA Division II","Non Football-Basketball",141873,239355,381228
"2001-2002","University of Minnesota-Duluth","Other","NCAA Division II","Basketball",102222,56093,158315
"2001-2002","University of Minnesota-Duluth","Other","NCAA Division II","Football",41117,0,41117
"2001-2002","University of Minnesota-Duluth","Other","NCAA Division II","Non Football-Basketball",873315,106669,979984
"2001-2002","University of Minnesota-Morris","Other","NCAA Division III","Basketball",71413,51643,123056
"2001-2002","University of Minnesota-Morris","Other","NCAA Division III","Football",174612,0,174612
"2001-2002","University of Minnesota-Morris","Other","NCAA Division III","Non Football-Basketball",119599,156725,276324
"2001-2002","University of Minnesota-Twin Cities","Big Ten Conference","NCAA Division I-A","Basketball",10371959,201397,10573356
"2001-2002","University of Minnesota-Twin Cities","Big Ten Conference","NCAA Division I-A","Football",11749294,0,11749294
"2001-2002","University of Minnesota-Twin Cities","Big Ten Conference","NCAA Division I-A","Non Football-Basketball",6560095,273566,6833661
"2001-2002","University of Mississippi","Southeastern Conference","NCAA Division I-A","Basketball",3160742,7047,3167789
"2001-2002","University of Mississippi","Southeastern Conference","NCAA Division I-A","Football",12301431,0,12301431
"2001-2002","University of Mississippi","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",241048,9864,250912
"2001-2002","University of Missouri-Columbia","Southeastern Conference","NCAA Division I-A","Basketball",5502827,86740,5589567
"2001-2002","University of Missouri-Columbia","Southeastern Conference","NCAA Division I-A","Football",8553993,0,8553993
"2001-2002","University of Missouri-Columbia","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",92649,90619,183268
"2001-2002","University of Missouri-Kansas City","Other","NCAA Division I-AAA","Basketball",968115,541693,1509808
"2001-2002","University of Missouri-Kansas City","Other","NCAA Division I-AAA","Non Football-Basketball",576910,801750,1378660
"2001-2002","University of Missouri-St Louis","Other","NCAA Division II","Basketball",318830,140164,458994
"2001-2002","University of Missouri-St Louis","Other","NCAA Division II","Non Football-Basketball",198854,274807,473661
"2001-2002","University of Montevallo","Other","NCAA Division II","Basketball",16015,6280,22295
"2001-2002","University of Montevallo","Other","NCAA Division II","Non Football-Basketball",26470,26578,53048
"2001-2002","University of Mount Union","Other","NCAA Division III","Basketball",6561,0,6561
"2001-2002","University of Mount Union","Other","NCAA Division III","Football",152963,0,152963
"2001-2002","University of Mount Union","Other","NCAA Division III","Non Football-Basketball",5211,600,5811
"2001-2002","University of Nebraska at Kearney","Other","NCAA Division II","Basketball",165916,119216,285132
"2001-2002","University of Nebraska at Kearney","Other","NCAA Division II","Football",123834,0,123834
"2001-2002","University of Nebraska at Kearney","Other","NCAA Division II","Non Football-Basketball",146634,231070,377704
"2001-2002","University of Nebraska at Omaha","Other","NCAA Division I-AAA","Basketball",170555,74146,244701
"2001-2002","University of Nebraska at Omaha","Other","NCAA Division I-AAA","Football",225711,0,225711
"2001-2002","University of Nebraska at Omaha","Other","NCAA Division I-AAA","Non Football-Basketball",2707014,221409,2928423
"2001-2002","University of Nebraska-Lincoln","Big Ten Conference","NCAA Division I-A","Basketball",3632737,270763,3903500
"2001-2002","University of Nebraska-Lincoln","Big Ten Conference","NCAA Division I-A","Football",32609231,0,32609231
"2001-2002","University of Nebraska-Lincoln","Big Ten Conference","NCAA Division I-A","Non Football-Basketball",1152328,682360,1834688
"2001-2002","University of Nevada-Las Vegas","Other","NCAA Division I-A","Basketball",5553252,61518,5614770
"2001-2002","University of Nevada-Las Vegas","Other","NCAA Division I-A","Football",3939106,0,3939106
"2001-2002","University of Nevada-Las Vegas","Other","NCAA Division I-A","Non Football-Basketball",464841,147998,612839
"2001-2002","University of Nevada-Reno","Other","NCAA Division I-A","Basketball",1620650,96390,1717040
"2001-2002","University of Nevada-Reno","Other","NCAA Division I-A","Football",3194375,0,3194375
"2001-2002","University of Nevada-Reno","Other","NCAA Division I-A","Non Football-Basketball",162060,317940,480000
"2001-2002","University of New England","Other","NCAA Division III","Basketball",34673,33420,68093
"2001-2002","University of New England","Other","NCAA Division III","Non Football-Basketball",53227,80984,134211
"2001-2002","University of New Hampshire","Other","NCAA Division I-AA","Basketball",470855,295266,766121
"2001-2002","University of New Hampshire","Other","NCAA Division I-AA","Football",1262310,0,1262310
"2001-2002","University of New Hampshire","Other","NCAA Division I-AA","Non Football-Basketball",2050741,2255944,4306685
"2001-2002","University of New Haven","Other","NCAA Division II","Basketball",370910,299505,670415
"2001-2002","University of New Haven","Other","NCAA Division II","Football",793195,0,793195
"2001-2002","University of New Haven","Other","NCAA Division II","Non Football-Basketball",628401,729172,1357573
"2001-2002","University of New Mexico","Other","NCAA Division I-A","Basketball",4996260,632509,5628769
"2001-2002","University of New Mexico","Other","NCAA Division I-A","Football",2693936,0,2693936
"2001-2002","University of New Mexico","Other","NCAA Division I-A","Non Football-Basketball",193696,231100,424796
"2001-2002","University of New Orleans","Other","NCAA Division I-AA","Basketball",278088,12702,290790
"2001-2002","University of New Orleans","Other","NCAA Division I-AA","Non Football-Basketball",172520,26160,198680
"2001-2002","University of North Alabama","Other","NCAA Division II","Basketball",250356,198326,448682
"2001-2002","University of North Alabama","Other","NCAA Division II","Football",884618,0,884618
"2001-2002","University of North Alabama","Other","NCAA Division II","Non Football-Basketball",419712,573098,992810
"2001-2002","University of North Carolina At Pembroke","Other","NCAA Division II","Basketball",35250,33392,68642
"2001-2002","University of North Carolina At Pembroke","Other","NCAA Division II","Non Football-Basketball",125870,109545,235415
"2001-2002","University of North Carolina at Asheville","Other","NCAA Division I-AAA","Basketball",244691,12928,257619
"2001-2002","University of North Carolina at Asheville","Other","NCAA Division I-AAA","Non Football-Basketball",2675,500,3175
"2001-2002","University of North Carolina at Chapel Hill","Atlantic Coast Conference","NCAA Division I-A","Basketball",11019438,329862,11349300
"2001-2002","University of North Carolina at Chapel Hill","Atlantic Coast Conference","NCAA Division I-A","Football",15152384,0,15152384
"2001-2002","University of North Carolina at Chapel Hill","Atlantic Coast Conference","NCAA Division I-A","Non Football-Basketball",1692918,2598633,4291551
"2001-2002","University of North Carolina at Charlotte","Other","NCAA Division I-AA","Basketball",1750588,19038,1769626
"2001-2002","University of North Carolina at Charlotte","Other","NCAA Division I-AA","Non Football-Basketball",131812,108754,240566
"2001-2002","University of North Carolina at Greensboro","Other","NCAA Division I-AAA","Basketball",588001,508358,1096359
"2001-2002","University of North Carolina at Greensboro","Other","NCAA Division I-AAA","Non Football-Basketball",1043631,937932,1981563
"2001-2002","University of North Carolina at Wilmington","Other","NCAA Division I-AAA","Basketball",671759,59277,731036
"2001-2002","University of North Carolina at Wilmington","Other","NCAA Division I-AAA","Non Football-Basketball",350389,214747,565136
"2001-2002","University of North Dakota","Other","NCAA Division I-AA","Basketball",0,0,0
"2001-2002","University of North Dakota","Other","NCAA Division I-AA","Football",417596,0,417596
"2001-2002","University of North Dakota","Other","NCAA Division I-AA","Non Football-Basketball",1777571,1252,1778823
"2001-2002","University of North Florida","Other","NCAA Division I-AAA","Basketball",77490,46159,123649
"2001-2002","University of North Florida","Other","NCAA Division I-AAA","Non Football-Basketball",166045,281492,447537
"2001-2002","University of North Texas","Other","NCAA Division I-A","Basketball",163681,28412,192093
"2001-2002","University of North Texas","Other","NCAA Division I-A","Football",1842999,0,1842999
"2001-2002","University of North Texas","Other","NCAA Division I-A","Non Football-Basketball",20000,275,20275
"2001-2002","University of Northern Colorado","Other","NCAA Division I-AA","Basketball",67277,61369,128646
"2001-2002","University of Northern Colorado","Other","NCAA Division I-AA","Football",221230,0,221230
"2001-2002","University of Northern Colorado","Other","NCAA Division I-AA","Non Football-Basketball",92883,208536,301419
"2001-2002","University of Northern Iowa","Other","NCAA Division I-AA","Basketball",681672,67946,749618
"2001-2002","University of Northern Iowa","Other","NCAA Division I-AA","Football",1225229,0,1225229
"2001-2002","University of Northern Iowa","Other","NCAA Division I-AA","Non Football-Basketball",244501,429128,673629
"2001-2002","University of Notre Dame","Other","NCAA Division I-A","Basketball",1830676,202317,2032993
"2001-2002","University of Notre Dame","Other","NCAA Division I-A","Football",32015894,0,32015894
"2001-2002","University of Notre Dame","Other","NCAA Division I-A","Non Football-Basketball",388188,181057,569245
"2001-2002","University of Oklahoma Norman Campus","Big 12 Conference","NCAA Division I-A","Basketball",3820285,324121,4144406
"2001-2002","University of Oklahoma Norman Campus","Big 12 Conference","NCAA Division I-A","Football",22197980,0,22197980
"2001-2002","University of Oklahoma Norman Campus","Big 12 Conference","NCAA Division I-A","Non Football-Basketball",378945,125321,504266
"2001-2002","University of Oregon","Pacific-12 Conference","NCAA Division I-A","Basketball",4344246,749029,5093275
"2001-2002","University of Oregon","Pacific-12 Conference","NCAA Division I-A","Football",15731803,0,15731803
"2001-2002","University of Oregon","Pacific-12 Conference","NCAA Division I-A","Non Football-Basketball",482405,454269,936674
"2001-2002","University of Pennsylvania","Other","NCAA Division I-AA","Basketball",773880,377000,1150880
"2001-2002","University of Pennsylvania","Other","NCAA Division I-AA","Football",1295343,0,1295343
"2001-2002","University of Pennsylvania","Other","NCAA Division I-AA","Non Football-Basketball",2724497,1986234,4710731
"2001-2002","University of Pittsburgh","Atlantic Coast Conference","NCAA Division I-A","Basketball",3893149,10151,3903300
"2001-2002","University of Pittsburgh","Atlantic Coast Conference","NCAA Division I-A","Football",14777771,0,14777771
"2001-2002","University of Pittsburgh","Atlantic Coast Conference","NCAA Division I-A","Non Football-Basketball",7490,13241,20731
"2001-2002","University of Pittsburgh-Bradford","Other","NCAA Division III","Basketball",11969,7118,19087
"2001-2002","University of Pittsburgh-Bradford","Other","NCAA Division III","Non Football-Basketball",57513,8717,66230
